corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable,estimated_sla_breaches
IND209111AAA_IND285001AAD,21,2.114285714,2.108615768,1.0,74.0,35.0,32.0,FTL,1,21
IND141003AAB_IND142026AAA,21,1.677419355,1.6533383954761907,1.0,56.0,31.0,29.0,FTL,1,21
IND413501AAA_IND413401AAA,21,1.428571429,1.425770308142857,1.0,49.0,35.0,43.0,FTL,1,21
IND560043AAC_IND560099AAB,24,1.956302521,1.9477422320833335,0.875,60.5,32.0,37.0,Carting,1,21
IND395023AAA_IND382430AAB,21,1.796791444,1.8081994403809525,1.0,334.0,187.0,142.0,FTL,1,21
IND413002AAA_IND413501AAA,21,1.553191489,1.5840298885714286,1.0,74.0,48.0,37.0,FTL,1,21
IND390022AAA_IND395023AAA,21,1.775,1.7939180396666667,1.0,216.0,121.0,81.0,FTL,1,21
IND389001AAA_IND389151AAA,21,1.725490196,1.7960048781428573,1.0,88.0,50.0,28.0,FTL,1,21
IND302014AAA_IND301001AAB,21,1.912280702,1.8718892728571428,1.0,218.0,116.0,80.0,FTL,1,21
IND560002AAA_IND562132AAA,22,2.2687165775,2.3747106162272726,0.9545454545454546,76.0,33.0,38.0,Carting,1,21
IND532001AAB_IND532127AAA,21,1.9,2.0587122926190475,1.0,57.0,30.0,26.0,FTL,1,21
IND691574AAA_IND695614AAA,21,1.55,1.5893364363333333,1.0,30.0,20.0,17.0,Carting,1,21
IND382430AAB_IND389001AAA,21,1.693877551,1.715551131,1.0,166.0,98.0,354.0,FTL,1,21
IND523002AAA_IND523230AAA,21,1.608695652,1.6613414398571427,1.0,111.0,69.0,319.0,FTL,1,21
IND532001AAB_IND532421AAA,20,1.7836257309999999,2.0998245613,1.0,34.0,18.5,37.0,FTL,1,20
IND560067AAC_IND562114AAA,20,2.675,2.9103787879,1.0,26.0,10.0,25.5,Carting,1,20
IND203390AAA_IND201301AAF,20,2.572916667,3.00046379345,1.0,247.0,96.0,195.0,FTL,1,20
IND206001AAA_IND000000ACB,20,1.959409391,1.96961605145,1.0,457.5,232.5,35.0,FTL,1,20
IND503187AAA_IND503122AAA,20,1.538461538,1.56874957515,1.0,39.5,26.0,19.5,FTL,1,20
IND209304AAA_IND206122AAA,20,1.62745098,1.6586335957,1.0,80.0,49.0,440.0,FTL,1,20
