corridor,corridor_trip_count,corridor_median_factor,corridor_mean_factor,corridor_pct_delayed,corridor_median_actual_time,corridor_median_osrm_time,corridor_median_dwell,corridor_main_route_type,is_reliable
IND131028AAB_IND248001AAD,1,1.872641509,1.872641509,1.0,397.0,212.0,276.0,FTL,0
IND131028AAB_IND249407AAA,1,1.866666667,1.866666667,1.0,336.0,180.0,219.0,FTL,0
IND131028AAB_IND250002AAA,1,1.808219178,1.808219178,1.0,132.0,73.0,994.0,FTL,0
IND131028AAB_IND250002AAC,1,5.625,5.625,1.0,405.0,72.0,273.0,FTL,0
IND131028AAB_IND250609AAA,1,2.954545455,2.954545455,1.0,65.0,22.0,123.0,FTL,0
IND131028AAB_IND250611AAA,3,3.314285714,3.326142376,1.0,116.0,35.0,94.0,FTL,0
IND131028AAB_IND251001AAA,10,1.9305650879999998,1.9054238082000001,1.0,180.5,95.0,175.5,FTL,1
IND131028AAE_IND124507AAA,1,1.733333333,1.733333333,1.0,78.0,45.0,61.0,FTL,0
IND131301AAA_IND131028AAB,2,3.035897436,3.035897436,1.0,120.0,39.5,245.5,FTL,0
IND132001AAA_IND131028AAB,2,3.664473684,3.664473684,1.0,278.5,76.0,134.0,FTL,0
IND132001AAA_IND132103AAA,1,3.147058824,3.147058824,1.0,107.0,34.0,199.0,FTL,0
IND132001AAA_IND132103AAB,2,3.6544117645,3.6544117645,1.0,121.0,33.0,341.0,FTL,0
IND132103AAA_IND131028AAB,3,2.822222222,2.4490421453333333,1.0,127.0,45.0,177.0,FTL,0
IND132103AAA_IND132001AAA,5,1.771428571,1.7283787914000002,1.0,62.0,35.0,21.0,FTL,1
IND132103AAB_IND131028AAB,6,1.835897436,1.9425510763333333,1.0,68.5,37.0,260.5,FTL,1
IND132103AAB_IND132001AAA,2,1.496969697,1.496969697,1.0,47.0,31.5,18.0,FTL,0
IND133004AAA_IND135001AAA,6,1.6607744105,1.6651779853333333,1.0,90.5,54.0,54.5,FTL,1
IND134102AAA_IND174103AAA,16,2.75,2.9194395065,1.0,38.5,14.0,33.0,FTL,1
IND134109AAA_IND160002AAC,15,1.555555556,1.7820587868,1.0,48.0,29.0,578.0,Carting,1
IND134203AAA_IND140501AAA,14,1.575,1.6739961586428573,1.0,63.0,40.0,33.0,Carting,1
IND134203AAA_IND160002AAC,1,3.324324324,3.324324324,1.0,123.0,37.0,38.0,Carting,0
IND135001AAA_IND173025AAA,12,2.3,2.3603103966666668,1.0,103.5,45.0,36.0,FTL,1
IND136027AAA_IND132039AAA,21,1.823529412,2.030193098238095,1.0,62.0,34.0,70.0,FTL,1
IND136118AAA_IND136128AAA,22,1.400132275,1.4114659923636363,1.0,38.0,27.5,31.5,FTL,1
IND136128AAA_IND136027AAA,22,2.0954545455,2.0881504726363636,1.0,42.0,20.0,17.5,FTL,1
IND140001AAA_IND140118AAA,19,1.757575758,1.7491765845789473,1.0,58.0,33.0,35.0,FTL,1
IND140118AAA_IND160002AAC,17,1.6,1.6188271982941178,1.0,172.0,104.0,38.0,FTL,1
